x,y,z
0.09923,0.2688,0.1084
0.099332,0.26915,0.10821
0.099439,0.26951,0.10805
0.099553,0.26989,0.1079
0.099672,0.27028,0.10778
0.099797,0.27067,0.10768
0.09993,0.27108,0.1076
0.10007,0.27148,0.10755
0.10022,0.27189,0.10751
0.10037,0.2723,0.1075
0.10053,0.2727,0.1075
0.1007,0.2731,0.10753
0.10088,0.2735,0.10758
0.10106,0.27388,0.10764
0.10125,0.27426,0.10773
0.10144,0.27464,0.10782
0.10164,0.27501,0.10794
0.10184,0.27538,0.10806
0.10204,0.27574,0.10819
0.10224,0.2761,0.10833
0.10244,0.27646,0.10847
0.10264,0.27683,0.10862
0.10283,0.27719,0.10877
0.10302,0.27755,0.10891
0.10321,0.27792,0.10906
0.10338,0.27828,0.1092
0.10355,0.27865,0.10934
0.10372,0.27903,0.10947
0.10387,0.27941,0.10959
0.10401,0.2798,0.10969
0.10414,0.28019,0.10979
0.10426,0.28058,0.10988
0.10439,0.28098,0.10995
0.1045,0.28139,0.11002
0.10462,0.28179,0.11009
0.10473,0.2822,0.11014
0.10485,0.2826,0.11019
0.10497,0.28301,0.11023
0.1051,0.28342,0.11026
0.10523,0.28382,0.11029
0.10537,0.28422,0.11032
0.10552,0.28462,0.11034
0.10569,0.28502,0.11035
0.10587,0.28542,0.11037
0.10606,0.2858,0.11038
0.10627,0.28619,0.11039
0.1065,0.28657,0.1104
